Time (s),GPU Power (W),CPU Power (W),Total Power (W),Average Power (W),GPU Memory Used (GB)
33.0975,50.64,31.4641,81,83,0.204102
33.2402,50.64,46.5984,96,83,0.204102
33.3825,34.55,32.4755,66,83,0.204102
33.5228,34.55,37.3766,71,83,0.204102
33.9108,34.55,44.2229,78,83,0.204102
34.0723,34.55,163.898,197,84,0.204102
34.2199,34.55,33.9989,67,84,0.204102
34.3798,18.48,38.5924,56,84,0.204102
34.5298,18.48,38.3745,56,83,0.204102
34.6908,18.48,34.248,52,83,0.204102
34.826,18.48,103.34,121,83,0.204102
35.1261,18.48,62.6268,80,83,0.204102
35.2777,24.69,116.258,140,84,0.204102
35.4247,24.69,31.8517,55,84,0.204102
35.5604,33.19,38.3989,71,84,0.204102
35.7121,33.77,32.3473,65,83,0.204102
35.8488,34.7,33.0706,67,83,0.204102
35.9926,35.1,50.0817,85,83,0.204102
36.2698,35.44,29.9365,64,83,0.204102
36.4255,42.2,111.239,153,84,0.204102
36.5735,42.2,33.5015,75,84,0.204102
36.7255,42.2,30.5169,72,83,0.204102
36.8622,42.2,34.8626,76,83,0.204102
37.0088,42.2,32.9473,74,83,0.204102
37.1489,42.2,36.2145,78,83,0.204102
37.2945,42.2,32.904,74,83,0.204102
37.4511,51.48,51.2352,102,83,0.204102
37.6107,51.48,45.1836,96,83,0.204102
37.753,51.48,30.0805,81,83,0.204102
37.9049,51.48,33.391,84,83,0.204102
38.0479,51.48,31.2084,82,83,0.204102
38.1955,51.48,32.6281,83,83,0.204102
38.3395,51.48,30.7238,81,83,0.204102
38.6454,50.91,33.5143,83,83,0.204102
38.8081,50.91,106.789,156,84,0.204102
38.9547,50.91,30.0982,80,84,0.204102
39.1025,50.91,63.3855,113,84,0.204102
39.2599,50.91,31.2627,81,84,0.204102
39.4031,37.02,32.6952,69,84,0.204102
39.5555,37.02,27.9925,64,84,0.204102
39.9233,37.02,31.7107,68,84,0.204102
40.065,37.02,123.909,160,84,0.204102
40.2143,37.02,34.298,71,84,0.204102
40.3618,22.42,30.5865,52,84,0.204102
40.5213,22.42,33.6883,55,84,0.204102
40.6765,22.42,32.3669,54,83,0.204102
40.8412,22.42,36.3524,58,83,0.204102
41.1403,24.71,38.0913,62,83,0.204102
41.2784,26.01,107.372,133,83,0.204102
41.4292,27.32,33.2604,60,83,0.204102
41.5779,37.19,31.0485,68,83,0.204102
41.7206,38.35,31.1223,69,83,0.204102
41.8734,40.19,29.5672,69,83,0.204102
42.0211,40.19,34.8479,74,83,0.204102
42.2812,40.19,29.3877,69,83,0.204102
42.4421,40.19,80.8811,120,83,0.204102
42.5829,40.19,31.2749,71,83,0.204102
42.7308,53.05,34.2571,87,83,0.204102
42.8838,53.03,30.9289,83,83,0.204102
43.0398,53.06,35.6334,88,83,0.204102
43.1886,52.93,30.2294,82,83,0.204102
43.4598,53.4,35.9862,88,83,0.204102
43.6126,53.43,90.9952,143,83,0.204102
43.7691,53.43,29.8235,82,83,0.204102
43.9087,53.43,31.925,84,83,0.204102
44.0637,53.43,41.5374,94,84,0.204102
44.219,53.43,32.8075,85,84,0.204102
44.3804,53.43,29.2626,82,84,0.204102
44.6571,46.33,34.3102,80,83,0.204102
44.8077,46.33,86.3065,132,84,0.204102
44.9597,46.33,32.7776,78,84,0.204102
45.1026,46.33,30.2343,76,84,0.204102
45.271,46.33,32.8075,78,84,0.204102
45.4084,46.33,31.8108,77,84,0.204102
45.5621,34.77,31.6717,65,83,0.204102
45.9114,34.77,28.8116,62,83,0.204102
46.0606,34.77,120.067,154,84,0.204102
46.2051,34.77,33.8488,67,84,0.204102
46.3754,34.77,35.4638,69,84,0.204102
46.5281,34.77,33.3739,67,83,0.204102
46.669,24.07,30.0426,54,83,0.204102
46.8182,24.07,30.0872,54,83,0.204102
47.104,24.07,34.0771,58,83,0.204102
47.2437,24.07,97.2031,121,83,0.204102
47.399,24.07,30.9637,54,83,0.204102
47.5416,29.41,35.7927,64,83,0.204102
47.7021,29.41,28.7603,57,83,0.204102
47.8484,29.41,32.0245,61,83,0.204102
47.9959,29.41,30.4906,59,83,0.204102
48.258,29.41,34.6056,63,83,0.204102
48.403,29.41,84.9992,113,83,0.204102
48.5498,37.94,33.5039,70,83,0.204102
48.7086,37.94,30.3741,67,83,0.204102
48.8667,37.94,32.7959,69,83,0.204102
49.0205,37.94,31.9787,68,83,0.204102
49.1746,37.94,33.4307,70,83,0.204102
